host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,minimum_minimum_nights,instant_bookable,reviews_per_month,amenities_number,predicted_price,listing_id,host_listings_count,host_total_listings_count,review_scores_rating,review_scores_value,review_scores_accuracy,review_scores_checkin,calculated_host_listings_count
f,t,t,Centrum-West,52.37075,4.897869999999999,Entire home/apt,2,1.0,2.0,73.0,2,2,f,0.89,17,144.1687977769975,304082,2.0,2.0,94.0,9.0,10.0,10.0,1
f,t,t,Centrum-Oost,52.36377,4.91831,Entire home/apt,2,1.0,1.0,95.0,3,3,f,0.49,30,156.62300166684577,304143,1.0,1.0,91.0,9.0,10.0,10.0,1
f,t,f,Centrum-West,52.370940000000004,4.87654,Entire home/apt,3,1.0,1.0,99.0,2,2,f,0.84,10,153.17399437454105,304189,1.0,1.0,94.0,9.0,10.0,10.0,1
t,t,t,Westerpark,52.38584,4.871,Entire home/apt,4,1.0,4.0,275.0,1,1,f,1.54,32,169.2607355516243,305809,1.0,1.0,98.0,9.0,10.0,10.0,1
f,t,t,Centrum-Oost,52.35955,4.8979,Entire home/apt,4,2.0,2.0,175.0,3,3,f,0.21,19,191.41656629927184,306852,0.0,0.0,91.0,9.0,10.0,10.0,3
f,t,t,Centrum-Oost,52.35843,4.896669999999999,Entire home/apt,2,1.0,1.0,125.0,3,3,f,0.02,8,136.78736846994457,307621,0.0,0.0,90.0,10.0,10.0,10.0,3
f,t,t,Centrum-Oost,52.35853,4.89751,Private room,2,1.0,1.0,70.0,3,3,f,0.44,7,96.05643948188526,308028,0.0,0.0,95.0,9.0,9.0,10.0,3
f,t,f,Oud-Noord,52.39992,4.92,Entire home/apt,2,1.0,2.0,175.0,2,2,f,0.82,34,123.69043731881857,309436,1.0,1.0,90.0,9.0,9.0,10.0,1
f,t,t,De Baarsjes - Oud-West,52.35901,4.8644,Entire home/apt,2,1.0,1.0,169.0,2,2,f,0.3,9,120.31939271900023,310722,1.0,1.0,96.0,10.0,10.0,10.0,1
t,t,f,Centrum-West,52.371829999999996,4.87657,Entire home/apt,2,1.0,1.0,230.0,3,3,f,0.79,27,158.4246496584028,311124,2.0,2.0,95.0,9.0,9.0,10.0,2
f,t,t,De Baarsjes - Oud-West,52.36684,4.87676,Entire home/apt,2,1.0,1.0,95.0,3,3,f,2.55,24,125.20659684763677,311584,1.0,1.0,96.0,9.0,10.0,10.0,1
f,t,t,De Pijp - Rivierenbuurt,52.35718,4.89654,Entire home/apt,2,1.0,1.0,150.0,3,3,f,0.12,26,143.3878991788747,314235,1.0,1.0,98.0,9.0,10.0,10.0,1
f,t,t,De Pijp - Rivierenbuurt,52.341429999999995,4.89142,Entire home/apt,2,1.0,1.0,199.0,2,2,f,0.39,18,134.89328764540232,314673,1.0,1.0,99.0,10.0,10.0,10.0,1
