host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,minimum_minimum_nights,instant_bookable,reviews_per_month,amenities_number
f,t,t,Watergraafsmeer,52.35541,4.93876,Entire home/apt,4,2.0,2.0,140.0,5,5,f,0.57,23
f,t,t,Oud-Oost,52.3639,4.92542,Entire home/apt,4,2.0,4.0,139.0,4,4,f,0.07,16
f,t,t,Bos en Lommer,52.37508,4.85753,Entire home/apt,4,1.0,4.0,245.0,3,3,f,0.63,41
f,t,t,De Baarsjes - Oud-West,52.37234,4.86229,Entire home/apt,6,3.0,5.0,150.0,1,1,f,0.67,37
f,t,t,De Baarsjes - Oud-West,52.37296,4.87374,Entire home/apt,2,1.0,1.0,110.0,2,2,f,0.37,14
f,t,t,Gaasperdam - Driemond,52.30676,4.97829,Shared room,4,1.0,4.0,75.0,2,2,f,0.78,10
f,t,f,Oostelijk Havengebied - Indische Buurt,52.37245,4.95088,Entire home/apt,4,3.0,4.0,299.0,3,3,f,0.51,9
f,t,t,De Baarsjes - Oud-West,52.36694,4.85033,Entire home/apt,2,1.0,1.0,50.0,5,5,f,0.18,9
f,t,t,Westerpark,52.38464,4.86984,Entire home/apt,2,1.0,1.0,80.0,2,2,f,1.71,31
f,t,t,Westerpark,52.37823,4.87284,Entire home/apt,2,1.0,2.0,107.0,2,2,f,0.16,12
t,t,t,De Baarsjes - Oud-West,52.37276,4.87285,Entire home/apt,4,1.0,2.0,120.0,1,1,f,0.22,6
f,t,f,Buitenveldert - Zuidas,52.3358,4.86706,Entire home/apt,2,1.0,1.0,180.0,4,4,f,0.2,22
f,t,t,Oud-Oost,52.36075,4.93127,Entire home/apt,4,4.0,4.0,195.0,4,4,f,0.05,36
f,t,t,De Pijp - Rivierenbuurt,52.35555,4.90146,Entire home/apt,3,2.0,2.0,150.0,4,4,f,0.16,17
f,t,t,Zuid,52.35217,4.88042,Entire home/apt,2,1.0,1.0,140.0,2,2,f,0.56,22
t,t,t,Centrum-Oost,52.37226,4.90191,Private room,2,1.0,2.0,83.0,3,3,f,1.05,30
f,t,t,Westerpark,52.38353,4.88069,Private room,2,1.0,1.0,70.0,3,3,f,2.01,4
t,t,t,Zuid,52.34934,4.86913,Private room,3,1.0,2.0,65.0,4,4,f,3.69,17
f,t,f,Centrum-West,52.3787,4.89095,Entire home/apt,2,1.0,1.0,125.0,3,3,f,0.08,4
f,t,t,De Baarsjes - Oud-West,52.36671,4.87275,Entire home/apt,2,2.0,2.0,206.0,2,2,f,0.3,17
f,t,t,Centrum-Oost,52.36069,4.89302,Entire home/apt,4,4.0,7.0,245.0,5,5,f,0.2,37
f,t,t,Centrum-Oost,52.37076,4.90295,Entire home/apt,5,3.0,4.0,225.0,3,3,f,0.34,21
t,t,t,Westerpark,52.38982,4.88421,Private room,2,1.0,1.0,107.0,2,2,t,4.69,30
f,t,t,De Baarsjes - Oud-West,52.36534,4.85654,Entire home/apt,4,2.0,2.0,94.0,7,7,f,0.07,3
f,t,t,De Pijp - Rivierenbuurt,52.35403,4.89983,Entire home/apt,4,2.0,3.0,300.0,3,3,f,0.78,21
f,t,f,De Pijp - Rivierenbuurt,52.35239,4.88894,Entire home/apt,3,1.0,2.0,280.0,2,2,t,0.16,17
f,t,t,Slotervaart,52.35933,4.84151,Entire home/apt,2,1.0,1.0,105.0,7,7,f,0.12,31
f,t,f,Bos en Lommer,52.37809,4.85039,Entire home/apt,2,1.0,1.0,165.0,3,3,f,0.22,12
f,t,t,Oud-Noord,52.38723,4.91974,Entire home/apt,2,1.0,1.0,100.0,4,4,f,0.24,29
f,t,t,Oud-Noord,52.39387,4.91687,Entire home/apt,5,3.0,3.0,170.0,4,4,t,0.2,19
f,t,t,Centrum-Oost,52.37246,4.90278,Entire home/apt,4,3.0,4.0,230.0,2,2,f,0.03,22
f,t,f,Centrum-Oost,52.3598,4.89916,Entire home/apt,4,2.0,2.0,110.0,180,180,f,0.4,36
f,t,t,Oud-Oost,52.35045,4.91614,Entire home/apt,4,2.0,2.0,100.0,2,2,f,0.52,27
t,t,t,Westerpark,52.38474,4.88078,Entire home/apt,6,4.0,5.0,250.0,26,26,f,0.01,8
f,t,f,Oud-Oost,52.35374,4.90931,Entire home/apt,2,1.0,1.0,85.0,5,5,f,0.25,7
